id,timestamp,sensor,t,h
34450,2024-11-28 23:44:50.100937+00,flora-d22-esquina,25.1,46.3
34737,2024-11-28 23:58:17.949835+00,flora-d4-interno,23.3,51.6
35024,2024-11-29 00:12:43.772932+00,flora-d22-esquina,23.9,59.5
35311,2024-11-29 00:25:25.774061+00,flora-d22-esquina,23.4,44.7
35598,2024-11-29 00:35:49.222729+00,flora-d22-esquina,23.3,44
35884,2024-11-29 00:47:40.286631+00,flora-d22-esquina,23.1,43.1
36213,2024-11-29 00:59:20.17091+00,flora-d4-interno,22.8,39.8
36500,2024-11-29 01:08:55.482058+00,secado-d4,24.9,43
36648,2024-11-29 01:22:52.257574+00,flora-d22-esquina,22.7,42.9
28977,2024-11-28 19:20:15.70819+00,flora-d22-esquina,24.9,48.4
29447,2024-11-28 19:39:35.713812+00,flora-d22-esquina,24.3,52.4
29734,2024-11-28 19:49:14.973821+00,secado-d4,24.8,41
30021,2024-11-28 20:02:14.306003+00,flora-d4-interno,22.1,58.2
30204,2024-11-28 20:11:39.831852+00,flora-d4-interno,22.1,59.9
30491,2024-11-28 20:26:11.312422+00,flora-d4-interno,24.8,44.4
30778,2024-11-28 20:40:02.222211+00,flora-d4-interno,25,43.1
31065,2024-11-28 20:54:28.044407+00,flora-d4-interno,24.9,43.1
31352,2024-11-28 21:08:53.869168+00,flora-d4-interno,25,43.5
31639,2024-11-28 21:23:19.948674+00,flora-d22-esquina,25.1,49.1
31746,2024-11-28 21:29:05.996372+00,flora-d4-interno,25,43.1
32033,2024-11-28 21:43:37.272025+00,flora-d4-interno,25,42.8
32320,2024-11-28 21:57:28.696775+00,flora-d22-esquina,24.5,52.3
32607,2024-11-28 22:12:05.730062+00,flora-d4-interno,22.4,55.4
32894,2024-11-28 22:26:42.762408+00,flora-d4-interno,24.6,43.3
33181,2024-11-28 22:41:08.777694+00,flora-d4-interno,24.9,43.8
33468,2024-11-28 22:55:40.281878+00,flora-d4-interno,24.9,42.8
33590,2024-11-28 23:02:07.391772+00,flora-d4-interno,24.9,42.6
33877,2024-11-28 23:15:58.501659+00,flora-d4-interno,24.7,42.9
34164,2024-11-28 23:30:24.354104+00,flora-d22-esquina,25.1,46.4
34451,2024-11-28 23:44:55.486625+00,flora-d4-interno,24.4,42.5
34738,2024-11-28 23:58:18.330023+00,flora-d22-esquina,25,52.6
35025,2024-11-29 00:12:49.158729+00,flora-d4-interno,22,57
35312,2024-11-29 00:25:30.189948+00,secado-d4,24.9,43
35599,2024-11-29 00:35:50.587391+00,secado-d4,24.9,43
35885,2024-11-29 00:47:42.635877+00,secado-d4,24.9,43
36214,2024-11-29 00:59:20.551863+00,flora-d22-esquina,23,43.6
36501,2024-11-29 01:08:57.113209+00,flora-d4-interno,22.7,39.5
36649,2024-11-29 01:22:53.971847+00,secado-d4,24.9,43
28978,2024-11-28 19:20:15.956399+00,secado-d4,24.9,41
29448,2024-11-28 19:39:39.361763+00,secado-d4,24.9,41
29735,2024-11-28 19:49:18.184944+00,flora-d4-interno,22.2,55.9
30022,2024-11-28 20:02:14.6918+00,flora-d22-esquina,23.9,62.2
30205,2024-11-28 20:11:40.212928+00,flora-d22-esquina,23.8,63.8
30492,2024-11-28 20:26:11.694332+00,flora-d22-esquina,24.8,50.1
30779,2024-11-28 20:40:02.609142+00,flora-d22-esquina,25,48.7
31066,2024-11-28 20:54:28.430095+00,flora-d22-esquina,25,48.1
31353,2024-11-28 21:08:54.256335+00,flora-d22-esquina,25.1,48.9
31640,2024-11-28 21:23:25.336347+00,flora-d4-interno,25,43.1
31747,2024-11-28 21:29:06.385225+00,flora-d22-esquina,25,48.4
32034,2024-11-28 21:43:37.666377+00,flora-d22-esquina,25,47.4
32321,2024-11-28 21:57:34.081785+00,flora-d4-interno,22.8,50.2
32608,2024-11-28 22:12:06.111364+00,flora-d22-esquina,24.4,57.6
32895,2024-11-28 22:26:43.149343+00,flora-d22-esquina,24.8,48.2
33182,2024-11-28 22:41:09.157944+00,flora-d22-esquina,25.3,48.4
33469,2024-11-28 22:55:40.669642+00,flora-d22-esquina,25.4,46.8
33591,2024-11-28 23:02:07.78037+00,flora-d22-esquina,25.3,48.3
33878,2024-11-28 23:15:58.889795+00,flora-d22-esquina,25.3,46.7
34165,2024-11-28 23:30:29.739074+00,flora-d4-interno,24.6,42.4
34452,2024-11-28 23:44:55.874192+00,flora-d22-esquina,25.1,47.1
34739,2024-11-28 23:58:23.717096+00,flora-d4-interno,23.2,51.6
35026,2024-11-29 00:12:49.545615+00,flora-d22-esquina,23.9,59.5
35313,2024-11-29 00:25:31.155689+00,flora-d4-interno,23.2,41
35600,2024-11-29 00:35:54.605656+00,flora-d4-interno,23.1,40.1
35886,2024-11-29 00:47:45.671507+00,flora-d4-interno,23,39.7
36215,2024-11-29 00:59:25.187041+00,secado-d4,24.9,43
36502,2024-11-29 01:08:57.498722+00,flora-d22-esquina,22.9,43.1
36650,2024-11-29 01:22:57.640076+00,flora-d4-interno,22.5,39.5
28979,2024-11-28 19:20:21.096144+00,flora-d4-interno,24.8,42.7
29449,2024-11-28 19:39:41.094646+00,flora-d4-interno,23.2,49.5
29736,2024-11-28 19:49:18.572693+00,flora-d22-esquina,24,58.6
30023,2024-11-28 20:02:20.076789+00,flora-d4-interno,22.1,58.7
30206,2024-11-28 20:11:45.597902+00,flora-d4-interno,22.1,59.7
30493,2024-11-28 20:26:17.0804+00,flora-d4-interno,24.9,44.3
30780,2024-11-28 20:40:07.989274+00,flora-d4-interno,25,43
31067,2024-11-28 20:54:33.817174+00,flora-d4-interno,24.9,43.2
31354,2024-11-28 21:08:59.637394+00,flora-d4-interno,25,43.6
31641,2024-11-28 21:23:25.723381+00,flora-d22-esquina,25,48.4
31748,2024-11-28 21:29:11.768519+00,flora-d4-interno,25,43.1
32035,2024-11-28 21:43:43.107959+00,flora-d4-interno,25,42.7
32322,2024-11-28 21:57:34.461664+00,flora-d22-esquina,24.5,52.3
32609,2024-11-28 22:12:11.500637+00,flora-d4-interno,22.4,55.4
32896,2024-11-28 22:26:48.538326+00,flora-d4-interno,24.6,43.3
33183,2024-11-28 22:41:14.5436+00,flora-d4-interno,24.9,43.8
33470,2024-11-28 22:55:46.056932+00,flora-d4-interno,24.9,42.7
33592,2024-11-28 23:02:13.165064+00,flora-d4-interno,24.9,42.6
33879,2024-11-28 23:16:04.632887+00,flora-d22-esquina,25.3,47.7
34166,2024-11-28 23:30:30.124094+00,flora-d22-esquina,25.2,47.5
34453,2024-11-28 23:45:01.260929+00,flora-d4-interno,24.4,42.9
34740,2024-11-28 23:58:24.097694+00,flora-d22-esquina,25,52.6
35027,2024-11-29 00:12:54.923913+00,flora-d4-interno,22,57
35314,2024-11-29 00:25:31.537606+00,flora-d22-esquina,23.5,44.9
35601,2024-11-29 00:35:54.986509+00,flora-d22-esquina,23.2,43.6
35887,2024-11-29 00:47:46.059484+00,flora-d22-esquina,23.2,43
36216,2024-11-29 00:59:25.939006+00,flora-d4-interno,22.8,39.9
36503,2024-11-29 01:09:00.869045+00,secado-d4,24.9,43
36651,2024-11-29 01:22:58.029457+00,flora-d22-esquina,22.7,42.9
28980,2024-11-28 19:20:21.33794+00,secado-d4,24.9,41
29450,2024-11-28 19:39:41.474929+00,flora-d22-esquina,24.4,52.3
29737,2024-11-28 19:49:20.362239+00,secado-d4,24.9,41
30024,2024-11-28 20:02:20.457723+00,flora-d22-esquina,23.8,62.2
30207,2024-11-28 20:11:45.986664+00,flora-d22-esquina,23.8,63.5
30494,2024-11-28 20:26:17.467356+00,flora-d22-esquina,24.8,49.7
30781,2024-11-28 20:40:08.37729+00,flora-d22-esquina,25,48.6
31068,2024-11-28 20:54:34.204453+00,flora-d22-esquina,25,48.6
31355,2024-11-28 21:09:00.018095+00,flora-d22-esquina,25.1,48.4
31642,2024-11-28 21:23:31.11108+00,flora-d4-interno,25,43.2
31749,2024-11-28 21:29:12.153394+00,flora-d22-esquina,25.1,47.8
32036,2024-11-28 21:43:43.498322+00,flora-d22-esquina,25,48
32323,2024-11-28 21:57:39.842118+00,flora-d4-interno,22.8,50
32610,2024-11-28 22:12:11.890399+00,flora-d22-esquina,24.4,57.5
32897,2024-11-28 22:26:48.920364+00,flora-d22-esquina,24.8,47.9
33184,2024-11-28 22:41:14.923804+00,flora-d22-esquina,25.3,48.5
33471,2024-11-28 22:55:46.442671+00,flora-d22-esquina,25.4,47.5
33593,2024-11-28 23:02:13.546869+00,flora-d22-esquina,25.3,47.2
33880,2024-11-28 23:16:10.020897+00,flora-d4-interno,24.8,42.7
34167,2024-11-28 23:30:35.505199+00,flora-d4-interno,24.6,42.4
34454,2024-11-28 23:45:01.645506+00,flora-d22-esquina,25.1,46.9
34741,2024-11-28 23:58:29.477549+00,flora-d4-interno,23.2,51.7
35028,2024-11-29 00:12:55.304684+00,flora-d22-esquina,23.8,59.4
35315,2024-11-29 00:25:35.577831+00,secado-d4,24.9,42
35602,2024-11-29 00:35:55.97741+00,secado-d4,24.9,43
35888,2024-11-29 00:47:48.014669+00,secado-d4,24.9,43
36217,2024-11-29 00:59:26.325028+00,flora-d22-esquina,23,43.2
36504,2024-11-29 01:10:14.139601+00,secado-d4,24.9,43
36652,2024-11-29 01:22:59.360192+00,secado-d4,24.9,43
28981,2024-11-28 19:20:21.483114+00,flora-d22-esquina,24.9,47.7
29451,2024-11-28 19:39:46.862797+00,flora-d4-interno,23.1,49.6
29738,2024-11-28 19:49:23.961684+00,flora-d4-interno,22.2,56.1
30025,2024-11-28 20:02:25.845862+00,flora-d4-interno,22.1,59.1
30208,2024-11-28 20:11:51.364482+00,flora-d4-interno,22.1,59.2
30495,2024-11-28 20:26:22.85711+00,flora-d4-interno,24.8,44.3
30782,2024-11-28 20:40:13.76139+00,flora-d4-interno,25.1,43.2
31069,2024-11-28 20:54:39.587614+00,flora-d4-interno,24.9,43.1
31356,2024-11-28 21:09:05.406419+00,flora-d4-interno,25,43.6
31643,2024-11-28 21:23:31.497866+00,flora-d22-esquina,25,48.3
31750,2024-11-28 21:29:17.545093+00,flora-d4-interno,25,43.1
32037,2024-11-28 21:43:48.913115+00,flora-d4-interno,25,42.8
32324,2024-11-28 21:57:40.229702+00,flora-d22-esquina,24.5,52.3
32611,2024-11-28 22:12:17.273243+00,flora-d4-interno,22.4,55.6
32898,2024-11-28 22:26:54.301201+00,flora-d4-interno,24.6,43.2
33185,2024-11-28 22:41:20.303923+00,flora-d4-interno,24.9,44
33472,2024-11-28 22:55:51.829843+00,flora-d4-interno,24.9,42.9
33594,2024-11-28 23:02:18.928696+00,flora-d4-interno,24.9,42.6
33881,2024-11-28 23:16:10.410685+00,flora-d22-esquina,25.3,47.5
34168,2024-11-28 23:30:35.885129+00,flora-d22-esquina,25.1,46.4
34455,2024-11-28 23:45:07.03309+00,flora-d4-interno,24.4,42.8
34742,2024-11-28 23:58:29.863415+00,flora-d22-esquina,25,52.6
35029,2024-11-29 00:13:00.691652+00,flora-d4-interno,22,57.1
35316,2024-11-29 00:25:36.9267+00,flora-d4-interno,23.2,41.1
